IN,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
3,4.569408856,5.4,-0.86,0.27,-10.7,0.092,23,398,0.98527,5.02,0.64,12.3,-1,1.791759469,3
9,3.46466568,12.4,0.385,-0.76,-19.7,1.169,-37,68,0.99048,3.37,1.09,16,0,1.791759469,2
10,1.596021069,7.2,1.75,0.17,-33,0.065,9,76,1.04641,4.61,0.68,8.55,0,2.079441542,1
18,1.557676272,6.2,0.1,1.8,1,-0.179,104,89,0.98877,3.2,2.11,12.3,-1,2.079441542,1
21,1.445002216,11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,-0.07,4.8,0,2.302585093,1
30,5.811776422,17.6,0.04,-1.15,1.4,0.535,-250,140,0.95028,3.06,-0.02,11.4,1,2.079441542,4
31,3.112829225,15.5,0.53,-0.53,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,0,2.48490665,3
37,2.677359384,15.9,1.19,1.14,31.9,-0.299,115,381,1.03416,2.99,0.31,11.4,1,1.945910149,1
39,2.068972701,11.6,0.32,0.55,-50.9,0.076,35,83,1.0002,3.32,2.18,-0.5,0,2.48490665,2
47,2.314413152,3.8,0.22,0.31,-7.7,0.039,40,129,0.9061,4.72,-0.64,10.9,0,1.945910149,1
60,1.779408598,6.8,1.68,0.44,-13.3,0.046,-183,583,1.00833,3.29,1.64,12.6,0,2.079441542,1
62,2.933687944,9,-0.21,0.04,51.4,0.237,-213,-527,0.99516,3.16,0.7,14.7,1,2.302585093,2
63,3.042301859,24.6,0.03,-1.2,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,0,2.197224577,2
64,2.076299559,13,0.21,0.32,-3.2,-0.263,111,141,0.95918,3.2,-1.22,4.2,0,2.079441542,1
68,2.609516732,17.9,-0.42,-0.91,7.1,0.045,-177,169,0.95307,3.17,-1.12,13.2,-1,2.197224577,2
75,2.074774015,10,0.2,1.27,30.9,0.05,19,152,0.994,3.31,0.42,13.8,-1,2.397895273,2
